mw_id,ce_id
KJX3956-0007,8bd3ec67-6cb6-4ef4-b3e9-5f1941015a7e
KJX3778-0001,30830fff-7c9a-4515-afbc-c6c5b0a5eb5d
KJX4139-0001,f3d5834b-e76b-4598-8cc0-0b1b23f41d6f
KJX4012-0002,dce9bfcf-13ff-484c-9e2b-02919efe4553
KJX3768-0007,9eb57cce-87eb-450c-b66c-31300cf70dae
KJX3458-0001,42bf39bd-99a3-47ea-ad10-7cfd8a9ec5d5
KJX3363-0008,39a6fc58-6ab7-4c01-b1ea-bac3306906ed
KJX3818-0005,834576c4-c97f-456d-b1ed-1f55365903eb
KJX3372-0005,61938a82-2d82-45aa-90af-b52080f299a8
KJX1725-0001,b412ba2f-0437-4a47-b038-36307d1f5140
KJX1470-0001,6247d8a8-fe0d-4727-bfe8-10285f1428a1
KJX1038-0004,f01b6f20-89eb-414e-9c11-bbc6e27ae368
KHX1076-0002,25a22c3b-8be9-4d34-92e4-c5a368067b72
HEX9756-0014,930bbcd5-00cd-4257-91db-73b7ef24c64f
KHX1585-0005,373fad42-c31d-4e59-b615-e7d6d7704e82
HEX4063-0009,97a9c464-0a89-4b80-9822-a5db8a09509c
KHX2397-0003,b00d2b32-b544-44ef-90ac-e162569a0de0
KHX2782-0013,96ddea79-e4f8-46f4-bcf2-29c0cb1e7861
KHX2782-0010,0563af91-f214-4337-a38b-68339bd34ff1
JK190257-0006,41b9460d-0e81-4c59-88f4-b9e358c83e38
KHX2397-0011,ba685ee1-2469-4c22-ab2a-dd092c331d4e
JK190257-0010,d949ecb5-4492-4238-881c-7cbba3c223c5
HEX9803-0009,0d8fd693-78f9-418f-99fe-dc18f3508265
LAX2638-0013,8e252717-1bac-47d6-ab3d-b5f50d600023
HEX9803-0017,cc5eabd9-7375-473f-a1c1-c3465f9bd5b7
HEX9803-0005,428e5920-42fb-47e8-9478-db45986e3345
HEX15069-0002,166a6594-c011-482b-aee6-cf9e9ba28d40
HEX9435-0002,57832d5c-ca07-4409-a4e8-78e11bdb0eb6
KHX0455-0007,a61ddef7-cb94-4abf-a099-f3fd9b7ab033
KHX1074-0015,960bafea-1f96-4bff-a687-c9802132ae07
KHX1115-0007,587bb55d-c2f7-49d9-a690-1dee0af69cd9
KHX0893-0019,349d92a3-e947-4d33-8d74-5f33e36877e3
KHX1025-0020,0520c00e-4037-4918-a3d7-6fcf99cea65b
HEX15179-0031,1fb4058b-fa3b-4312-bafe-078490f12a96
HEX5358-0007,98fde2ec-326d-4f30-968f-71ba73e5e1a7
HEX7289-0007,4aae8d5d-b86e-48fd-a4e4-e8ac657c3ae5
HEX7916-0007,6a09d615-6cc6-41ce-9ac8-3e886b910919
HEX15031-0001,bba44598-1db9-4602-8f6e-d16bec5890c1
HEX8524-0029,0990d263-5d3a-4fb0-b1d7-88481504a263
HEX14708-0006,3ac06dad-4e03-48f0-b002-c453ca35762a
HEX12387-0003,cdab746c-1f46-48bc-9841-1feb9ab07a65
HEX3863-0006,0e3511a7-7ddf-450d-9956-f19e0a2af95d
HEX9165-0005,7b2c8d2d-5dc0-496e-ae88-de5341bc908c
HEX7757-0002,d1e40666-1b29-4feb-868b-0a679697a921
JFX7086-0006,c497df03-3b25-47f1-94ca-d658c4e3be49
KHX0831-0008,05bf20fa-371e-43ff-b2c3-fefede000f02
HEX9819-0007,5e5327f1-59d1-4b0c-b105-97e87f7a2500
KHX1908-0028,1df8bbec-23dd-485b-a7ef-c2fa13a11ec4
HEX4806-0002,c2aa9a3a-3429-4c3b-91a4-94d7c1833da7
HEX9817-0011,ba9a1521-c8c0-4b4f-b585-ba2d4c72850e
HEX10265-0007,6a9a389b-056a-4744-ab8b-282b7240d2c3
HEX13432-0003,c10a947f-5ee8-4fe6-b162-5e0650adcc0d
HEX15122-0012,6333f582-d7e9-46ef-beff-1e1a4769804d
